PMID,PMCID,Keywords,Table,X,Y,Z
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,1,0,26,26
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,1,2,50,0
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,64,2,0
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-56,-14,-4
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,50,-2,-22
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,2,-6,6
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,2,-90,0
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-20,16,-4
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-16,-26,-12
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-26,-98,-2
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,40,-10,-24
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,28,-98,-10
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-38,-20,-12
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-36,-74,56
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-34,-78,54
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,6,-26,22
32528365,7264388,close relationship; attention to alternatives; self-expansion; romantic love; social neuroscience,3,-6,-30,20
